RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
521600,8.693333333333333,0.0,8527.0
522400,8.706666666666667,0.0,8551.0
523200,8.72,0.0,8533.0
524000,8.733333333333333,0.0,8461.0
524800,8.746666666666666,0.0,8340.0
525600,8.76,0.0,8203.0
526400,8.773333333333333,0.0,8024.0
527200,8.786666666666667,0.0,7830.0
528000,8.8,0.0,7641.0
528800,8.813333333333333,0.0,7437.0
529600,8.826666666666666,0.0,7245.0
530400,8.84,0.0,7071.0
531200,8.853333333333333,0.0,6922.0
532000,8.866666666666667,0.0,6803.0
532800,8.88,0.0,6723.0
533600,8.893333333333333,0.0,6666.0
534400,8.906666666666666,0.0,6635.0
535200,8.92,0.0,6598.0
536000,8.933333333333334,0.0,6564.0
536800,8.946666666666667,0.0,6511.0
537600,8.96,0.0,6459.0
538400,8.973333333333333,0.0,6422.0
539200,8.986666666666666,0.0,6351.0
540000,9.0,0.0,6288.0
540800,9.013333333333334,0.0,6184.0
541600,9.026666666666667,0.0,6049.0
542400,9.04,0.0,5918.0
543200,9.053333333333333,0.0,5777.0
544000,9.066666666666666,0.0,5647.0
544800,9.08,0.0,5525.0
545600,9.093333333333334,0.0,5430.0
546400,9.106666666666667,0.0,5349.0
547200,9.12,0.0,5278.0
548000,9.133333333333333,0.0,5215.0
548800,9.146666666666667,0.0,5151.0
549600,9.16,0.0,5101.0
550400,9.173333333333334,0.0,5075.0
551200,9.186666666666667,0.0,5067.0
552000,9.2,0.0,5053.0
552800,9.213333333333333,0.0,5032.0
553600,9.226666666666667,0.0,5010.0
554400,9.24,0.0,4983.0
555200,9.253333333333334,0.0,4951.0
556000,9.266666666666667,0.0,4915.0
556800,9.28,0.0,4876.0
557600,9.293333333333333,0.0,4845.0
558400,9.306666666666667,0.0,4822.0
559200,9.32,0.0,4795.0
560000,9.333333333333334,0.0,4786.0
560800,9.346666666666666,0.0,4774.0
561600,9.36,0.0,4781.0
562400,9.373333333333333,0.0,4799.0
563200,9.386666666666667,0.0,4810.0
564000,9.4,0.0,4856.0
564800,9.413333333333334,0.0,4905.0
565600,9.426666666666666,0.0,4985.0
566400,9.44,0.0,5080.0
567200,9.453333333333333,0.0,5176.0
568000,9.466666666666667,0.0,5281.0
568800,9.48,0.0,5380.0
569600,9.493333333333334,0.0,5493.0
570400,9.506666666666666,0.0,5613.0
571200,9.52,0.0,5750.0
572000,9.533333333333333,0.0,5899.0
572800,9.546666666666667,0.0,6044.0
573600,9.56,0.0,6202.0
574400,9.573333333333334,0.0,6389.0
575200,9.586666666666666,0.0,6600.0
576000,9.6,0.0,6843.0
576800,9.613333333333333,0.0,7126.0
577600,9.626666666666667,0.0,7407.0
578400,9.64,0.0,7732.0
579200,9.653333333333334,0.0,8070.0
580000,9.666666666666666,0.0,8405.0
580800,9.68,0.0,8770.0
581600,9.693333333333333,0.0,9109.0
582400,9.706666666666667,0.0,9450.0
583200,9.72,0.0,9755.0
584000,9.733333333333333,0.0,9983.0
584800,9.746666666666666,0.0,10166.0
585600,9.76,0.0,10238.0
586400,9.773333333333333,0.0,10214.0
587200,9.786666666666667,0.0,10109.0
588000,9.8,0.0,9888.0
588800,9.813333333333333,0.0,9592.0
589600,9.826666666666666,0.0,9216.0
590400,9.84,0.0,8782.0
591200,9.853333333333333,0.0,8345.0
592000,9.866666666666667,0.0,7929.0
